PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
29364287,The biology and management of non-small cell lung cancer.,2018-01-24,Boshoff Chris,Pfizer,None
34385702,Toward personalized treatment approaches for non-small-cell lung cancer.,2021-08-01,Boshoff Chris,Pfizer,roy.herbst@yale.edu.
35420921,Improved Survival With Enzalutamide in Patients With Metastatic Hormone-Sensitive Prostate Cancer.,2022-05-20,Yamada Shunsuke; Haas Gabriel P,Astellas Pharma,None
37996402,Evaluation of circulating plasma proteins in breast cancer using Mendelian randomisation.,2023-11-24,Huang Tzu-Hsuan,Pfizer,anders.malarstig@ki.se.
38320501,Enzalutamide and Quality of Life in Biochemically Recurrent Prostate Cancer.,2023-12-01,Ganguli Arijit,Astellas,None
36749874,CCNE1 and PLK1 Mediate Resistance to Palbociclib in HR+/HER2- Metastatic Breast Cancer.,2023-04-14,Muñoz-Mateu Montserrat,Translational Genomics and Targeted,None
38383216,Histone lysine acetyltransferase inhibitors: an emerging class of drugs for cancer therapy.,2024-03-01,White Jeffrey; Derheimer Frederick A; Jensen-Pergakes Kristen; O'Connell Shawn; Sharma Shikhar; Spiegel Noah; Paul Thomas A,Pfizer,thomas.a.paul@pfizer.com.
33257855,The hexosamine biosynthesis pathway is a targetable liability in KRAS/LKB1 mutant lung cancer.,2020-12-01,Wang Hui; Unsal-Kacmaz Keziban,Pfizer; Cancer,jiyeonk@uic.edu.
36692420,Allogeneic CAR T Cells Targeting DLL3 Are Efficacious and Safe in Preclinical Models of Small Cell Lung Cancer.,2023-03-01,Zhang Yi; Tacheva-Grigorova Silvia K; Sutton Janette; Melton Zea; Mak Yvonne S L; Lay Cecilia; Smith Bryan A; Van Blarcom Thomas; Sasu Barbra J; Panowski Siler H,Allogene,None
37643677,Error-corrected next generation sequencing - Promises and challenges for genotoxicity and cancer risk assessment.,2023-01-01,Kidd Darren; Salk Jesse J; Zhang Shaofei,TwinStrand Biosciences; Pfizer,cchen@hesiglobal.org.
37146438,Effectiveness and safety of anticoagulants among venous thromboembolism cancer patients with and without brain cancer.,2023-06-01,Noxon Virginia; Bruette Robert; Shah Shrushti; Hines Dionne M; Alfred Tamuno; Luo Xuemei,STATinMED; Pfizer,alexander.cohen@kcl.ac.uk.
36625843,Challenges to Using Big Data in Cancer.,2023-04-14,Davis Gerard J; Gawel Susan H; Kirsch Ilan R; Shi George,Adaptive,None
37927299,Management of breast cancer patients with <i>BRCA</i> gene mutations in Jordan: perspectives and challenges.,2023-10-01,Debs Jamil; Al Masri Sarah,Pfizer,None
32732669,"Price, Cost, and Value of Cancer Medicines: A Pharmaceutical Industry Perspective.",2020-01-01,Rothenberg Mace L,From Pfizer,None
30217855,Kidney cancer: The next decade.,2018-10-01,Boshoff Chris,Pfizer,chris.boshoff@pfizer.com.
39177933,Trends in HR+ metastatic breast cancer survival before and after CDK4/6 inhibitor introduction in the United States: a SEER registry analysis of patients with HER2- and HER2+ metastatic breast cancer.,2024-11-01,Stergiopoulos Stella; Cha-Silva Ashley S; Makari Doris,Pfizer,brufskyam@upmc.edu.
34176404,The evolution of cyclin dependent kinase inhibitors in the treatment of cancer.,2021-10-01,Dann Stephen; Liu Feng; Wong Gilbert Y; Krupka Heike,Pfizer,None
31871299,Progress and Opportunities to Advance Clinical Cancer Therapeutics Using Tumor Dynamic Models.,2020-04-15,Bottino Dean; de Alwis Dinesh P,Millennium,rene.bruno@roche.com.
39377971,Physical activity before and after cancer diagnosis and mortality risk in three large prospective cohorts.,2025-01-01,Chandler Paulette D,Pfizer,cchristopher@fas.harvard.edu.
34403429,Significance of descriptive symptoms and signs and clinical parameters as predictors of neuropathic cancer pain.,2021-01-01,Gil Ha Yeong,Pfizer Pharmaceuticals Korea,None
31775882,Peripheral immune-based biomarkers in cancer immunotherapy: can we realize their predictive potential?,2019-11-27,Potluri Shobha; Wang I-Ming; Fleener Catherine,Pfizer; Translational Science at Samumed,andrew.nixon@duke.edu.
36098654,Improving access to oncology publications for advocates and people with cancer.,2022-11-01,Chari Dheepa; Ghith Jennifer; Ferdinand Roxanne,Pfizer,None
39368039,Population Pharmacokinetic Analysis of Tucatinib in Healthy Participants and Patients with Breast Cancer or Colorectal Cancer.,2024-10-01,Zhang Daping; Endres Christopher J; Topletz-Erickson Ariel,Pfizer,Ariel.Erickson@pfizer.com.
28187516,Collaborating to Compete: Blood Profiling Atlas in Cancer (BloodPAC) Consortium.,2017-05-01,Juhl H; Martin A-M; Mulpuri R; Posadas E; Reese D; Talasaz A; Toukhy H; Tseng H R; Wolf J,Indivumed; Novartis; Provista Diagnostics; CytoLumina; Guardant Health,None
38573132,Patient engagement in designing and publishing research in prostate cancer: a scoping review.,2024-01-01,Evuarherhe Obaro,Oxford,None
36317162,The Burden of Metastatic Cancer-Induced Bone Pain: A Narrative Review.,2022-01-01,Dragon Erika,Pfizer,None
37248173,"Animal models of inflammatory bowel disease: novel experiments for revealing pathogenesis of colitis, fibrosis, and colitis-associated colon cancer.",2023-07-01,Habtezion Aida,Pfizer,None
30025274,Global analysis of metastatic breast cancer policy gaps and advocacy efforts across the patient journey.,2018-10-01,Thrift-Perry Maia; Faircloth Kyra,Pfizer,ACabanes@komen.org.
31182754,Targeting CLDN18.2 by CD3 Bispecific and ADC Modalities for the Treatments of Gastric and Pancreatic Cancer.,2019-06-10,Hasa-Moreno Adela; Aschenbrenner Laura; Van Blarcom Thomas; Liu Shu-Hui,Kodiak Sciences; Covance; Allogene; Multitude,gzhu108@live.com.
39933898,Dynamics of molecular heterogeneity in high-risk luminal breast cancer-From intrinsic to adaptive subtyping.,2025-02-10,Zhang Zhe,Pfizer,carsten.denkert@uni-marburg.de.
19967539,Relationship between exposure to sunitinib and efficacy and tolerability endpoints in patients with cancer: results of a pharmacokinetic/pharmacodynamic meta-analysis.,2010-07-01,Houk Brett E,Pfizer,brett.houk@pfizer.com
37314600,Prescription patterns of analgesics in cancer patients with bone metastases in Japan: a retrospective database study.,2023-09-01,Tomitori Hideyuki; Akano Kyoko,Pfizer Japan,kyoko.akano@pfizer.com.
34846775,Application of artificial intelligence to overcome clinical information overload in urological cancer.,2022-09-01,Ghith Jenny,Pfizer,None
39481054,Phase II Trial of Enfortumab Vedotin in Patients With Previously Treated Advanced Head and Neck Cancer.,2025-02-10,Wozniak Michele; Zhao Yongyun; Mihm Michael; Kaplan Jason; Gorla Seema,Astellas,None
28078656,Biosimilars for the Treatment of Cancer: A Systematic Review of Published Evidence.,2017-02-01,Lula Sadiq,Envision,ira.jacobs@pfizer.com.
31907370,Effective delivery of Complex Innovative Design (CID) cancer trials-A consensus statement.,2020-02-01,Cooper Alison M; Fisher Wendy,The Association of the British,sarah.blagden@oncology.ox.ac.uk.
38332714,Effectiveness and safety of anticoagulants among patients with venous thromboembolism and active cancer who also had prior bleed or prior renal disease.,2024-03-01,Noxon Virginia; Shah Shrushti,STATinMED,None
27882192,Next-Generation Antibody-Drug Conjugates (ADCs) for Cancer Therapy.,2016-11-10,Junutula Jagath Reddy; Gerber Hans-Peter,Cellerant; Targeted,None
36848784,Trends and factors associated with outpatient anticoagulant treatment initiation among VTE patients with active cancer.,2023-04-01,Shah Shrushti; Noxon Virginia; Bruette Robert; Luo Xuemei,SIMR; Pfizer,amol.dhamane@bms.com.
38565911,Emerging racial disparities among Medicare beneficiaries and Veterans with metastatic castration-sensitive prostate cancer.,2024-12-01,Ramaswamy Krishnan; Russell David; Emir Birol; Yang Hongbo; Song Wei; Hong Agnes; Gao Wei,Pfizer; Analysis Group; Formerly of Astellas Pharma,Daniel.George@duke.edu.
36625851,Case Studies for Overcoming Challenges in Using Big Data in Cancer.,2023-04-14,Davis Gerard J; Gawel Susan H; Kirsch Ilan R; Shi George,Adaptive,None
37837178,"Impact of posaconazole and diltiazem on pharmacokinetics of encorafenib, a BRAF V600 kinase inhibitor for melanoma and colorectal cancer with BRAF mutations.",2023-12-01,Hahn Erik; Chavira Renae; Tan Weiwei,Pfizer,None
37592001,The impact of race on survival in metastatic prostate cancer: a systematic literature review.,2023-09-01,Niyazov Alexander; Nazari Jonathan,Pfizer,stephen.freedland@cshs.org.
30202448,Updates on managing advanced breast cancer with palbociclib combination therapy.,2018-01-01,McShane Teresa M; Wolfe Thomas A; Ryan Joanne C,Pfizer,None
38546943,Palbociclib in Older Patients with Advanced/Metastatic Breast Cancer: A Systematic Review.,2024-05-01,Chen Connie; Pasupuleti Vinay,Pfizer; Oxford PharmaGenesis,kgelmon@bccancer.bc.ca.
